#FamilyID	Clec<0>	Aluc<1>	<2>	Rpro<3>	Hhal<4>	Achi<5>	<6>	<7>	<8>	Nlug<9>	Btab<10>	Apis<11>	<12>	<13>	Dmel<14>	<15>	<16>	Bmor<17>	<18>	
OG0000070	0.014305	0.814673	0.65465	0.562169	9.26306e-07	3.34974e-34	0.292362	0.000801699	0.777795	9.36636e-05	0.0205416	0.464094	0.109126	0.692051	0.0032575	0.228283	0.556794	0.900505	N/A
OG0000071	0.00468885	6.11302e-06	0.6129	0.00904464	3.39699e-07	9.05484e-57	0.625291	1.24694e-09	0.0121738	0.0443054	0.423993	0.777482	0.5689	0.581795	0.520964	0.661179	0.523984	0.52688	N/A
OG0000074	0.0285219	0.0559415	0.689157	0.260579	0.000177973	0.0442896	0.705697	0.385433	0.501309	0.00609196	0.0185003	0.00155029	0.719201	0.744863	0.620315	0.328762	0.586197	0.922176	N/A
OG0000079	0.596686	0.0162272	0.704151	0.0599494	0.00168746	1.1247e-06	0.721041	0.865651	0.808274	0.208575	0.722719	0.00155029	0.719201	0.744863	0.30706	0.843896	0.595311	0.519639	N/A
OG0000081	0.00468885	0.000389623	0.6129	0.00904464	0.00048864	4.18515e-09	0.625291	0.781798	0.704821	0.587131	0.382897	1.9647e-25	0.623906	6.02786e-05	0.24723	0.144136	0.535326	0.25331	N/A
OG0000082	0.85499	9.91981e-06	0.128746	0.0112332	2.41122e-07	5.02764e-05	0.705697	0.385433	0.794344	0.709932	0.0417106	0.0686108	0.703886	0.729339	0.141632	0.832332	0.586197	0.493602	N/A
OG0000084	0.572774	0.114993	0.689157	0.619987	0.00773872	1.80802e-07	0.705697	0.597866	0.501309	0.907985	0.133651	0.906444	0.719201	0.744863	0.30706	0.843896	0.595311	0.0378277	N/A
OG0000086	0.151985	0.603314	0.00189526	0.19679	5.51838e-06	1.766e-05	0.190548	0.781798	0.00674334	3.64638e-17	0.000488458	6.09818e-11	0.686927	0.711838	0.0114044	0.00914123	0.546257	0.324985	N/A
OG0000087	0.0162272	0.0369073	0.704151	0.440811	0.822458	0.0874395	0.721041	0.00507851	0.0112214	0.31946	0.658828	0.883428	0.668111	0.692051	0.0572052	0.800504	0.566953	0.305662	N/A
OG0000088	0.00193445	0.727587	0.171404	0.12374	1.39398e-13	1.566e-64	0.625291	7.2833e-05	0.0121738	0.781518	0.270567	0.270567	0.5689	0.122779	0.520964	0.661179	0.523984	0.294644	N/A
OG0000090	0.727587	0.727587	0.588765	0.760376	0.633789	0.202879	0.599088	0.744651	0.00437154	0.663886	0.411506	5.54791e-17	0.289511	0.0490285	0.0474879	0.818161	0.576749	0.121545	N/A
OG0000092	1.16742e-05	9.81881e-05	0.634783	0.00109301	1.59818e-08	5.06759e-08	0.261492	0.828662	0.0608157	3.66187e-08	0.0131987	3.06983e-07	0.703886	0.729339	0.000946535	0.0652008	0.566953	0.909526	N/A
OG0000093	0.00468885	0.207868	0.6129	0.796542	0.00048864	0.105658	0.625291	0.781798	0.00674334	2.55836e-11	0.000488458	2.82536e-13	0.686927	0.711838	0.0032575	0.10266	0.556794	0.900505	N/A
OG0000094	0.023466	0.0561127	0.588765	0.0366283	0.0798612	0.00522033	0.599088	0.744651	0.668977	0.828257	0.00643352	1.91937e-35	0.597927	0.0108753	0.520964	0.0972942	0.523984	0.52688	N/A
OG0000096	0.204457	0.0398326	0.061621	0.67608	0.783056	0.454867	0.177198	0.873618	0.0162447	0.506932	0.0153399	0.15951	0.0199291	0.0105941	0.105314	0.778129	0.556794	0.173828	N/A
OG0000097	0.85499	0.0033249	0.128746	0.047612	0.154778	0.000116844	0.705697	0.23437	0.794344	0.117934	0.90038	0.176606	0.703886	0.729339	0.764635	0.832332	0.586197	0.205169	N/A
OG0000098	0.180043	0.324956	0.672712	0.854789	0.00773872	5.00733e-06	0.688684	0.843958	0.777795	0.357367	0.892923	0.0304251	0.686927	0.711838	0.00287617	0.0358348	0.604104	0.434545	N/A
